;"(deg C) Minimum Temperature (TerraClimate) at Ecuador, Jan 2010 to Dec 2024"
"2010-01-01";16,6506
"2010-02-01";16,726
"2010-03-01";17,4514
"2010-04-01";17,5037
"2010-05-01";17,0481
"2010-06-01";16,047
"2010-07-01";15,6412
"2010-08-01";15,2982
"2010-09-01";15,3351
"2010-10-01";15,8175
"2010-11-01";15,8105
"2010-12-01";15,6991
"2011-01-01";15,9856
"2011-02-01";16,4418
"2011-03-01";16,5138
"2011-04-01";16,6615
"2011-05-01";16,6711
"2011-06-01";16,6976
"2011-07-01";16,0603
"2011-08-01";15,6696
"2011-09-01";15,586
"2011-10-01";15,2101
"2011-11-01";16,3914
"2011-12-01";16,3674
"2012-01-01";16,2569
"2012-02-01";16,003
"2012-03-01";16,8012
"2012-04-01";16,9037
"2012-05-01";16,9189
"2012-06-01";16,547
"2012-07-01";16,9231
"2012-08-01";15,7287
"2012-09-01";15,9634
"2012-10-01";16,0188
"2012-11-01";16,2933
"2012-12-01";16,5719
"2013-01-01";16,7784
"2013-02-01";17,4102
"2013-03-01";16,9122
"2013-04-01";16,5429
"2013-05-01";16,7285
"2013-06-01";15,9548
"2013-07-01";15,6123
"2013-08-01";15,4007
"2013-09-01";15,9587
"2013-10-01";15,8386
"2013-11-01";16,6728
"2013-12-01";16,8256
"2014-01-01";16,7391
"2014-02-01";16,966
"2014-03-01";17,0234
"2014-04-01";16,1954
"2014-05-01";17,2137
"2014-06-01";17,0619
"2014-07-01";16,7152
"2014-08-01";15,8236
"2014-09-01";15,9698
"2014-10-01";16,5652
"2014-11-01";16,6112
"2014-12-01";16,8789
"2015-01-01";16,8845
"2015-02-01";17,6166
"2015-03-01";17,2287
"2015-04-01";16,928
"2015-05-01";17,6662
"2015-06-01";17,5645
"2015-07-01";17,5811
"2015-08-01";16,6426
"2015-09-01";17,1428
"2015-10-01";16,9754
"2015-11-01";17,6208
"2015-12-01";17,2435
"2016-01-01";17,8844
"2016-02-01";17,8633
"2016-03-01";17,8068
"2016-04-01";17,5112
"2016-05-01";17,3596
"2016-06-01";16,7917
"2016-07-01";16,2918
"2016-08-01";16,3391
"2016-09-01";16,3736
"2016-10-01";16,3966
"2016-11-01";16,5763
"2016-12-01";16,5785
"2017-01-01";17,2789
"2017-02-01";17,3296
"2017-03-01";17,558
"2017-04-01";17,2082
"2017-05-01";17,1494
"2017-06-01";16,5982
"2017-07-01";16,1915
"2017-08-01";16,0371
"2017-09-01";16,2732
"2017-10-01";16,3759
"2017-11-01";16,1788
"2017-12-01";16,1858
"2018-01-01";16,5925
"2018-02-01";16,7444
"2018-03-01";17,0049
"2018-04-01";16,6297
"2018-05-01";17,3619
"2018-06-01";16,2379
"2018-07-01";16,0314
"2018-08-01";16,1399
"2018-09-01";16,1375
"2018-10-01";16,4062
"2018-11-01";16,42
"2018-12-01";16,6377
"2019-01-01";16,9867
"2019-02-01";17,4732
"2019-03-01";17,8044
"2019-04-01";17,6309
"2019-05-01";17,5234
"2019-06-01";16,7011
"2019-07-01";16,3808
"2019-08-01";15,7652
"2019-09-01";16,3062
"2019-10-01";16,3405
"2019-11-01";16,737
"2019-12-01";16,9926
"2020-01-01";17,8603
"2020-02-01";18,086
"2020-03-01";18,5307
"2020-04-01";17,7018
"2020-05-01";17,4699
"2020-06-01";16,9258
"2020-07-01";16,5051
"2020-08-01";16,3312
"2020-09-01";16,2573
"2020-10-01";17,0456
"2020-11-01";16,7218
"2020-12-01";16,8015
"2021-01-01";17,074
"2021-02-01";17,6016
"2021-03-01";17,5215
"2021-04-01";17,2201
"2021-05-01";16,8574
"2021-06-01";16,5546
"2021-07-01";16,3788
"2021-08-01";16,3567
"2021-09-01";16,3097
"2021-10-01";17,0514
"2021-11-01";16,6363
"2021-12-01";17,1337
"2022-01-01";17,2262
"2022-02-01";16,9884
"2022-03-01";17,5395
"2022-04-01";17,1414
"2022-05-01";16,6542
"2022-06-01";16,1182
"2022-07-01";16,316
"2022-08-01";15,9967
"2022-09-01";16,2889
"2022-10-01";16,6003
"2022-11-01";16,2876
"2022-12-01";16,7804
"2023-01-01";16,8674
"2023-02-01";17,3251
"2023-03-01";17,6721
"2023-04-01";17,3854
"2023-05-01";17,9332
"2023-06-01";17,3669
"2023-07-01";17,6171
"2023-08-01";17,4744
"2023-09-01";17,4842
"2023-10-01";18,0698
"2023-11-01";17,5696
"2023-12-01";17,4721
"2024-01-01";18,1198
"2024-02-01";18,2049
"2024-03-01";18,8091
"2024-04-01";18,2355
"2024-05-01";18,0223
"2024-06-01";17,4071
"2024-07-01";17,0549
"2024-08-01";16,7127
"2024-09-01";16,9893
"2024-10-01";17,585
"2024-11-01";16,9019
"2024-12-01";17,084